language,route,burst_index,bucket_start_s,count,mean_ms,median_ms,p90_ms,p95_ms,max_ms
go,cpu,0,0.0,6,229.304,190.225,321.829,380.557,439.286
go,cpu,0,1.0,5,177.885,178.366,192.513,196.493,200.474
go,cpu,0,2.0,6,169.293,166.868,177.855,181.43,185.005
go,cpu,0,3.0,8,165.758,162.85,177.206,178.985,180.765
go,cpu,0,4.0,13,171.781,172.474,183.884,185.319,185.542
go,cpu,0,5.0,10,184.659,176.976,206.992,214.987,222.983
go,cpu,0,6.0,10,191.457,194.163,204.144,205.888,207.632
go,cpu,0,7.0,12,192.284,183.407,218.203,232.375,248.801
go,cpu,0,8.0,15,199.295,195.318,225.622,227.07,229.58
go,cpu,0,9.0,16,195.748,188.301,222.382,227.537,237.496
go,cpu,0,10.0,15,195.68,189.537,230.359,235.427,236.1
go,cpu,0,11.0,18,189.789,183.968,223.155,232.836,233.774
go,cpu,0,12.0,20,196.945,192.375,228.155,242.134,256.465
go,cpu,0,13.0,20,202.68,199.219,240.022,241.668,253.705
go,cpu,0,14.0,21,190.905,183.915,223.192,241.238,254.557
go,cpu,0,15.0,22,189.615,185.715,202.641,205.277,253.418
go,cpu,0,16.0,26,197.996,183.911,238.413,245.145,249.911
go,cpu,0,17.0,25,196.839,192.413,239.949,249.67,261.312
go,cpu,0,18.0,25,192.719,182.595,233.244,251.999,256.984
go,cpu,0,19.0,25,201.404,204.229,237.951,241.078,256.191
quarkus,cpu,0,0.0,6,316.716,180.435,598.938,799.744,1000.55
quarkus,cpu,0,1.0,6,181.868,178.683,196.853,203.266,209.679
quarkus,cpu,0,2.0,5,178.152,178.837,184.468,185.985,187.501
quarkus,cpu,0,3.0,12,175.913,178.291,180.508,183.09,186.129
quarkus,cpu,0,4.0,7,266.497,172.408,442.911,641.593,840.276
quarkus,cpu,0,5.0,11,193.574,179.026,220.266,223.077,225.889
quarkus,cpu,0,6.0,10,194.335,187.637,227.006,227.214,227.422
quarkus,cpu,0,7.0,13,189.528,175.168,218.926,224.589,232.782
quarkus,cpu,0,8.0,15,224.86,207.739,236.109,341.758,580.829
quarkus,cpu,0,9.0,15,199.745,206.764,227.252,229.712,233.286
quarkus,cpu,0,10.0,15,198.26,192.349,223.991,232.03,247.508
quarkus,cpu,0,11.0,18,204.902,200.754,227.043,239.48,246.106
quarkus,cpu,0,12.0,20,207.107,216.131,236.38,241.029,241.523
quarkus,cpu,0,13.0,19,196.271,183.434,235.056,241.143,243.886
quarkus,cpu,0,14.0,20,204.41,210.82,230.724,237.257,240.708
quarkus,cpu,0,15.0,25,204.952,201.722,228.847,237.353,244.926
quarkus,cpu,0,16.0,27,192.151,192.401,223.175,226.456,238.443
quarkus,cpu,0,17.0,22,218.529,208.26,238.311,248.534,507.908
quarkus,cpu,0,18.0,24,207.784,213.022,243.003,256.535,270.241
quarkus,cpu,0,19.0,23,216.429,219.821,244.847,250.428,252.547
