target,second_bucket_start_s,request_count
go-cpu,0.0,6
go-cpu,1.0,5
go-cpu,2.0,6
go-cpu,3.0,8
go-cpu,4.0,13
go-cpu,5.0,10
go-cpu,6.0,10
go-cpu,7.0,12
go-cpu,8.0,15
go-cpu,9.0,16
go-cpu,10.0,15
go-cpu,11.0,18
go-cpu,12.0,20
go-cpu,13.0,20
go-cpu,14.0,21
go-cpu,15.0,22
go-cpu,16.0,26
go-cpu,17.0,25
go-cpu,18.0,25
go-cpu,19.0,25
go-cpu,20.0,25
go-cpu,21.0,28
go-cpu,22.0,23
go-cpu,23.0,24
go-cpu,24.0,24
go-cpu,25.0,23
go-cpu,26.0,23
go-cpu,27.0,24
go-cpu,28.0,23
go-cpu,29.0,23
go-cpu,30.0,24
go-cpu,31.0,24
go-cpu,32.0,24
go-cpu,33.0,27
go-cpu,34.0,26
go-cpu,35.0,26
go-cpu,36.0,27
go-cpu,37.0,26
go-cpu,38.0,26
go-cpu,39.0,26
go-cpu,40.0,24
go-cpu,41.0,25
go-cpu,42.0,24
go-cpu,43.0,26
go-cpu,44.0,26
go-cpu,45.0,24
go-cpu,46.0,27
go-cpu,47.0,25
go-cpu,48.0,26
go-cpu,49.0,25
go-cpu,50.0,25
go-cpu,51.0,25
go-cpu,52.0,25
go-cpu,53.0,23
go-cpu,54.0,24
go-cpu,55.0,25
go-cpu,56.0,26
go-cpu,57.0,23
go-cpu,58.0,20
go-cpu,59.0,18
go-cpu,60.0,15
go-cpu,61.0,13
go-cpu,62.0,10
go-cpu,63.0,7
go-cpu,64.0,5
go-cpu,65.0,2
quarkus-cpu,0.0,6
quarkus-cpu,1.0,6
quarkus-cpu,2.0,5
quarkus-cpu,3.0,12
quarkus-cpu,4.0,7
quarkus-cpu,5.0,11
quarkus-cpu,6.0,10
quarkus-cpu,7.0,13
quarkus-cpu,8.0,15
quarkus-cpu,9.0,15
quarkus-cpu,10.0,15
quarkus-cpu,11.0,18
quarkus-cpu,12.0,20
quarkus-cpu,13.0,19
quarkus-cpu,14.0,20
quarkus-cpu,15.0,25
quarkus-cpu,16.0,27
quarkus-cpu,17.0,22
quarkus-cpu,18.0,24
quarkus-cpu,19.0,23
quarkus-cpu,20.0,23
quarkus-cpu,21.0,24
quarkus-cpu,22.0,24
quarkus-cpu,23.0,29
quarkus-cpu,24.0,20
quarkus-cpu,25.0,23
quarkus-cpu,26.0,24
quarkus-cpu,27.0,22
quarkus-cpu,28.0,22
quarkus-cpu,29.0,23
quarkus-cpu,30.0,24
quarkus-cpu,31.0,23
quarkus-cpu,32.0,23
quarkus-cpu,33.0,22
quarkus-cpu,34.0,25
quarkus-cpu,35.0,22
quarkus-cpu,36.0,24
quarkus-cpu,37.0,22
quarkus-cpu,38.0,22
quarkus-cpu,39.0,24
quarkus-cpu,40.0,25
quarkus-cpu,41.0,24
quarkus-cpu,42.0,27
quarkus-cpu,43.0,23
quarkus-cpu,44.0,23
quarkus-cpu,45.0,24
quarkus-cpu,46.0,23
quarkus-cpu,47.0,24
quarkus-cpu,48.0,23
quarkus-cpu,49.0,24
quarkus-cpu,50.0,25
quarkus-cpu,51.0,26
quarkus-cpu,52.0,24
quarkus-cpu,53.0,23
quarkus-cpu,54.0,24
quarkus-cpu,55.0,24
quarkus-cpu,56.0,23
quarkus-cpu,57.0,18
quarkus-cpu,58.0,20
quarkus-cpu,59.0,15
quarkus-cpu,60.0,13
quarkus-cpu,61.0,10
quarkus-cpu,62.0,10
quarkus-cpu,63.0,5
quarkus-cpu,64.0,4
