language,route,burst_index,bucket_start_s,count,mean_ms,median_ms,p90_ms,p95_ms,max_ms
go,cpu,0,0.0,4,400.484,357.219,579.525,615.925,652.325
go,cpu,0,1.0,4,198.819,203.54,209.613,210.52,211.427
go,cpu,0,2.0,8,205.149,179.696,270.405,312.121,353.836
go,cpu,0,3.0,10,181.768,179.529,196.825,199.737,202.649
go,cpu,0,4.0,10,216.044,211.081,257.056,270.464,283.871
go,cpu,0,5.0,12,194.999,188.91,225.615,226.123,226.366
go,cpu,0,6.0,11,190.165,182.376,225.802,226.315,226.829
go,cpu,0,7.0,3,255.495,220.016,310.427,321.729,333.03
quarkus,cpu,0,0.0,5,407.85,245.053,770.815,932.834,1094.854
quarkus,cpu,0,1.0,4,228.427,213.132,282.558,294.694,306.829
quarkus,cpu,0,2.0,7,300.302,215.812,462.265,620.399,778.533
quarkus,cpu,0,3.0,10,210.634,214.993,231.569,231.872,232.176
quarkus,cpu,0,4.0,10,199.343,199.762,216.412,222.422,228.431
quarkus,cpu,0,5.0,10,216.808,217.81,226.301,233.759,241.217
quarkus,cpu,0,6.0,6,221.812,218.315,243.517,246.506,249.495
quarkus,cpu,0,7.0,1,362.365,362.365,362.365,362.365,362.365
